IP Address,ASN,Organization,Network,City,Country,Postal Code,Location
23.227.196.17,29802,HVC-AS,23.227.192.0/20,Chicago,United States,60616,"41.8486, -87.6288"
189.135.97.234,8151,UNINET,189.135.0.0/16,Zamora,Mexico,59600,"20.0403, -102.3092"
91.109.180.3,29075,Ielo-liazo Services SAS,91.109.176.0/20,,France,,"48.8582, 2.3387"
217.55.22.93,36992,Etisalat Misr,217.55.0.0/18,Cairo,Egypt,,"30.0507, 31.2489"
185.106.92.68,214927,Psb Hosting Ltd,185.106.92.0/24,Frankfurt am Main,Germany,60313,"50.1169, 8.6837"
91.109.182.3,29075,Ielo-liazo Services SAS,91.109.176.0/20,,France,,"48.8582, 2.3387"
91.109.184.7,29075,Ielo-liazo Services SAS,91.109.176.0/20,,France,,"48.8582, 2.3387"
189.124.93.75,28287,America-NET Ltda.,189.124.80.0/20,Presidente Prudente,Brazil,19015,"-22.1231, -51.3881"
89.20.6.2,12389,Rostelecom,89.20.0.0/20,St Petersburg,Russia,190990,"59.8983, 30.2618"
175.107.1.73,23888,National Telecommunication Corporation HQ,175.107.0.0/19,Wah Cantt,Pakistan,47040,"33.7583, 72.7859"
91.109.178.7,29075,Ielo-liazo Services SAS,91.109.176.0/20,,France,,"48.8582, 2.3387"
185.9.19.107,9009,M247 Europe SRL,185.9.16.0/22,Langenzersdorf,Austria,1210,"48.301, 16.3448"
91.109.186.7,29075,Ielo-liazo Services SAS,91.109.176.0/20,,France,,"48.8582, 2.3387"
116.203.141.215,24940,Hetzner Online GmbH,116.202.0.0/15,Nuremberg,Germany,90403,"49.4527, 11.0783"
91.109.182.4,29075,Ielo-liazo Services SAS,91.109.176.0/20,,France,,"48.8582, 2.3387"
2.58.47.203,9009,M247 Europe SRL,2.58.44.0/22,Poplar,United Kingdom,E14,"51.5064, -0.02"
91.109.190.5,29075,Ielo-liazo Services SAS,91.109.176.0/20,,France,,"48.8582, 2.3387"
103.43.12.106,None,None,None,None,None,None,None
